coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_volatility,price_momentum,price_change_abs,volume_trend,volume_momentum,volume_to_mcap_ratio,mcap_change,price_pct_change,price_1h_pct,price_24h_pct,price_7d_pct,liquidity_score,market_stability,price_efficiency
ARPA Chain,ARPA,0.068515692234,0.0279999999999999,0.026,-0.008,14838311.0,66892485.0,2022-03-16,0.0,-98.52336870185346,4.571484307765999,0.0,-51.64823501997555,22.182328852037713,0.0,-98.52336870185346,0.0279999999999999,0.026,-0.008,0.0019119626962633026,1.0,216568066.6163756
ARPA Chain,ARPA,0.069003373522,-0.0,0.008,-0.037,13633759.0,67762845.0,2022-03-17,0.007117804288314433,0.7117804288314433,0.00048768128800000254,-0.0811785114896163,-8.11785114896163,20.119814922174534,0.013011327057142585,0.7117804288314433,-0.0,0.008,-0.037,0.0017567524105569741,0.9929325007878852,197581050.08667752
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,0.0,199078.66762873656,137.370996626478,0.0,1970.8619757764532,15.162271988223072,0.0,199078.66762873656,0.037,0.131,0.129,0.03637991767876062,1.0,2054251.5352153666
Aave,AAVE,147.18,0.0069999999999999,0.071,0.153,406722278.0,2009385126.0,2022-03-17,0.07086728754365557,7.086728754365557,9.740000000000009,0.440559479396224,44.0559479396224,20.24113111704202,0.07909753242142559,7.086728754365557,0.0069999999999999,0.071,0.153,0.05240743527179289,0.9338225302350861,2763434.4204375595
Aave [OLD],LEND,1.36,0.026,0.08,0.038,5128.17,69502548.0,2022-03-16,0.0,-99.07596140779998,145.82,0.0,-99.99873914701077,0.007378391364874853,0.0,-99.07596140779998,0.026,0.08,0.038,6.607807141996538e-07,1.0,3770.7132352941176
Aave [OLD],LEND,1.47,0.002,0.079,0.072,11843.62,75160944.0,2022-03-17,0.0808823529411764,8.088235294117641,0.10999999999999988,1.3095217202237834,130.95217202237833,0.015757678615638464,0.08141278503919014,8.088235294117641,0.002,0.079,0.072,1.5260874117490849e-06,0.9251700680272109,8056.884353741497
Aavegotchi,GHST,1.95,0.0069999999999999,0.008,0.017,28297857.0,117328055.0,2022-03-16,0.0,32.65306122448979,0.48,0.0,238829.11964416286,24.11857675472418,0.0,32.65306122448979,0.0069999999999999,0.008,0.017,0.003646267217892479,1.0,14511721.538461538
Aavegotchi,GHST,1.94,-0.001,0.0,-0.008,28955029.0,117650490.0,2022-03-17,0.00512820512820511,-0.512820512820511,0.010000000000000009,0.02322338401809021,2.322338401809021,24.61105686852643,0.0027481491958594173,-0.512820512820511,-0.001,0.0,-0.008,0.0037309458817261693,0.9948979591836735,14925272.68041237
Acala,ACA,1.1,0.035,0.022,0.018,13275096.0,140584940.0,2022-03-16,0.0,-43.29896907216494,0.8399999999999999,0.0,-54.15271039790704,9.442758235697223,0.0,-43.29896907216494,0.035,0.022,0.018,0.0017105375632923572,1.0,12068269.09090909
Acala,ACA,1.08,0.002,-0.0139999999999999,-0.054,8839438.0,137419617.0,2022-03-17,0.018181818181818188,-1.8181818181818188,0.020000000000000018,-0.334133779522197,-33.413377952219705,6.432442611159366,-0.022515377536171388,-1.8181818181818188,0.002,-0.0139999999999999,-0.054,0.0011389891822547926,0.9821428571428572,8184664.814814814
Adshares,ADS,3.46,0.0139999999999999,0.063,0.3289999999999999,1223986.0,82839334.0,2022-03-16,0.0,220.37037037037032,2.38,0.0,-86.15312421445797,1.4775420574965028,0.0,220.37037037037032,0.0139999999999999,0.063,0.3289999999999999,0.00015771441727758197,1.0,353753.17919075146
Adshares,ADS,3.55,0.001,0.0279999999999999,0.298,1188991.0,85408124.0,2022-03-17,0.026011560693641522,2.6011560693641522,0.08999999999999986,-0.028591013295903744,-2.8591013295903744,1.3921286925819845,0.03100930289951398,2.6011560693641522,0.001,0.0279999999999999,0.298,0.0001532052022762429,0.9746478873239438,334927.04225352115
Adventure Gold,AGLD,1.1,-0.002,0.1889999999999999,0.098,57235927.0,85075417.0,2022-03-16,0.0,-69.01408450704226,2.4499999999999997,0.0,4713.823401522804,67.27669286651866,0.0,-69.01408450704226,-0.002,0.1889999999999999,0.098,0.007375027879524129,1.0,52032660.90909091
Adventure Gold,AGLD,1.11,-0.011,0.009,0.089,56512453.0,85908280.0,2022-03-17,0.009090909090909038,0.9090909090909038,0.010000000000000009,-0.012640207609461829,-1.2640207609461829,65.78231225209025,0.009789702235605935,0.9090909090909038,-0.011,0.009,0.089,0.007281805996001376,0.9909909909909911,50912119.819819815
Aergo,AERGO,0.216541,0.011,0.003,-0.14,8958942.0,78030243.0,2022-03-16,0.0,-80.4918018018018,0.8934590000000001,0.0,-84.14695960906174,11.481371395959897,0.0,-80.4918018018018,0.011,0.003,-0.14,0.0011543876457358621,1.0,41372959.39337123
Aergo,AERGO,0.218479,-0.004,0.012,-0.129,7272167.0,79214487.0,2022-03-17,0.00894980627225328,0.894980627225328,0.0019379999999999953,-0.18827837037007267,-18.827837037007267,9.180349801419531,0.015176730899069568,0.894980627225328,-0.004,0.012,-0.129,0.000937041421021369,0.9911295822481795,33285427.890094697
